BenchmarkNewStateEngine2Options-32                   	  104604	      5720 ns/op	   10317 B/op	      56 allocs/op
BenchmarkNewStateEngine2Options-32                   	  112831	      5373 ns/op	   10317 B/op	      56 allocs/op
BenchmarkNewStateEngine2NoLibs-32                    	  714854	       810.0 ns/op	    3939 B/op	      12 allocs/op
BenchmarkNewStateEngine2NoLibs-32                    	  558862	       970.6 ns/op	    3939 B/op	      12 allocs/op
BenchmarkNewStateEngine2NoLibs-32                    	  693010	       749.4 ns/op	    3939 B/op	      12 allocs/op
BenchmarkLibBaseOnly-32                              	  403477	      1394 ns/op	    4004 B/op	      13 allocs/op
BenchmarkLibBaseOnly-32                              	  362582	      1583 ns/op	    4004 B/op	      13 allocs/op
BenchmarkLibBaseOnly-32                              	  384501	      1515 ns/op	    4004 B/op	      13 allocs/op
BenchmarkLibCoroutineOnly-32                         	  380604	      1615 ns/op	    4933 B/op	      23 allocs/op
BenchmarkLibCoroutineOnly-32                         	  372729	      1956 ns/op	    4933 B/op	      23 allocs/op
BenchmarkLibCoroutineOnly-32                         	  345409	      1752 ns/op	    4933 B/op	      23 allocs/op
BenchmarkLibImmutableOnly-32                         	  119461	      4514 ns/op	    9708 B/op	      48 allocs/op
BenchmarkLibImmutableOnly-32                         	  125565	      4714 ns/op	    9708 B/op	      48 allocs/op
BenchmarkLibImmutableOnly-32                         	  129729	      4613 ns/op	    9708 B/op	      48 allocs/op
BenchmarkPooledStateReuse-32                         	  280359	      2784 ns/op	    9352 B/op	      14 allocs/op
BenchmarkPooledStateReuse-32                         	  388516	      2023 ns/op	    9352 B/op	      14 allocs/op
BenchmarkPooledStateReuse-32                         	  205040	      3109 ns/op	    9353 B/op	      14 allocs/op
BenchmarkPooledThreadReuse-32                        	30273885	        18.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledThreadReuse-32                        	33117277	        18.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledThreadReuse-32                        	31503914	        18.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkDefaultOptions-32                           	   27022	     26495 ns/op	   25304 B/op	     105 allocs/op
BenchmarkDefaultOptions-32                           	   30091	     23154 ns/op	   25303 B/op	     105 allocs/op
BenchmarkDefaultOptions-32                           	   28563	     24327 ns/op	   25303 B/op	     105 allocs/op
BenchmarkDoString-32                                 	   45898	     11856 ns/op	   27113 B/op	      54 allocs/op
BenchmarkDoString-32                                 	   80738	      8191 ns/op	   27096 B/op	      54 allocs/op
BenchmarkDoString-32                                 	   82778	      8048 ns/op	   27099 B/op	      54 allocs/op
BenchmarkFunctionCall-32                             	   80104	      8253 ns/op	   26625 B/op	      44 allocs/op
BenchmarkFunctionCall-32                             	   66217	     10177 ns/op	   26626 B/op	      44 allocs/op
BenchmarkFunctionCall-32                             	   81271	     10254 ns/op	   26636 B/op	      44 allocs/op
BenchmarkIsIntegerValue-32                           	331803130	         1.694 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsIntegerValue-32                           	369426726	         1.808 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsIntegerValue-32                           	367171876	         1.745 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsArrayKey-32                               	353684346	         1.690 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsArrayKey-32                               	361414220	         1.640 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsArrayKey-32                               	353019026	         1.677 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentDataTransform-32                       	   12218	     66720 ns/op	   66304 B/op	     427 allocs/op
BenchmarkAgentDataTransform-32                       	   10000	     74273 ns/op	   66304 B/op	     427 allocs/op
BenchmarkAgentDataTransform-32                       	    6321	     80031 ns/op	   66304 B/op	     427 allocs/op
BenchmarkAgentStateMachine-32                        	  147352	      4957 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentStateMachine-32                        	  145354	      4262 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentStateMachine-32                        	  146112	      4445 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentMessageBuild-32                        	  149845	      4264 ns/op	    1904 B/op	      83 allocs/op
BenchmarkAgentMessageBuild-32                        	  153698	      3711 ns/op	    1904 B/op	      83 allocs/op
BenchmarkAgentMessageBuild-32                        	  155413	      3682 ns/op	    1904 B/op	      83 allocs/op
BenchmarkAgentNestedAccess-32                        	    5400	    117007 ns/op	   15880 B/op	    1985 allocs/op
BenchmarkAgentNestedAccess-32                        	    5114	    111211 ns/op	   15881 B/op	    1985 allocs/op
BenchmarkAgentNestedAccess-32                        	    4969	    109475 ns/op	   15881 B/op	    1985 allocs/op
BenchmarkAgentBitwiseFlags-32                        	   14122	     38297 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentBitwiseFlags-32                        	   15794	     42028 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentBitwiseFlags-32                        	   16797	     37072 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentTableDispatch-32                       	    5152	    115407 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentTableDispatch-32                       	    5557	    115122 ns/op	       0 B/op	       0 allocs/op
BenchmarkAgentTableDispatch-32                       	    5560	    119248 ns/op	       0 B/op	       0 allocs/op
BenchmarkCoroutineYieldResume-32                     	  119120	      4483 ns/op	   10556 B/op	       5 allocs/op
BenchmarkCoroutineYieldResume-32                     	  131451	      4790 ns/op	   10556 B/op	       5 allocs/op
BenchmarkCoroutineYieldResume-32                     	  132370	      4994 ns/op	   10556 B/op	       5 allocs/op
BenchmarkStringEquality-32                           	    1496	    412170 ns/op	     176 B/op	       2 allocs/op
BenchmarkStringEquality-32                           	    1519	    446035 ns/op	     176 B/op	       2 allocs/op
BenchmarkStringEquality-32                           	    1370	    471578 ns/op	     176 B/op	       2 allocs/op
BenchmarkTypeChecking-32                             	    2036	    342924 ns/op	   20002 B/op	    1207 allocs/op
BenchmarkTypeChecking-32                             	    2174	    304836 ns/op	   20002 B/op	    1207 allocs/op
BenchmarkTypeChecking-32                             	    2266	    264237 ns/op	   20002 B/op	    1207 allocs/op
BenchmarkTableConstruction-32                        	   17034	     34791 ns/op	   53901 B/op	     553 allocs/op
BenchmarkTableConstruction-32                        	   17466	     41325 ns/op	   53901 B/op	     553 allocs/op
BenchmarkTableConstruction-32                        	   15802	     53037 ns/op	   53901 B/op	     553 allocs/op
