BenchmarkFloatAdd-32                                 	   33243	     17166 ns/op	    7320 B/op	      14 allocs/op
BenchmarkFloatAdd-32                                 	   33360	     18203 ns/op	    7320 B/op	      14 allocs/op
BenchmarkIntegerAdd-32                               	   43764	     14736 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntegerAdd-32                               	   43075	     13633 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntegerAdd-32                               	   44104	     13522 ns/op	       0 B/op	       0 allocs/op
BenchmarkThreadCreation-32                           	  304929	      2058 ns/op	   10571 B/op	       5 allocs/op
BenchmarkThreadCreation-32                           	  305592	      2046 ns/op	   10571 B/op	       5 allocs/op
BenchmarkThreadCreation-32                           	  289372	      2225 ns/op	   10571 B/op	       5 allocs/op
BenchmarkThreadCreationMinimal-32                    	  457681	      1146 ns/op	    5530 B/op	       6 allocs/op
BenchmarkThreadCreationMinimal-32                    	  514299	       989.4 ns/op	    5529 B/op	       6 allocs/op
BenchmarkThreadCreationMinimal-32                    	  660387	      1076 ns/op	    5529 B/op	       6 allocs/op
BenchmarkThreadWithExecution-32                      	 5740701	       104.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkThreadWithExecution-32                      	 5817283	       107.6 ns/op	      32 B/op	       1 allocs/op
BenchmarkThreadWithExecution-32                      	 5253720	       110.5 ns/op	      32 B/op	       1 allocs/op
BenchmarkThreadWithContext-32                        	 5503765	       108.7 ns/op	      32 B/op	       1 allocs/op
BenchmarkThreadWithContext-32                        	 5652574	       105.5 ns/op	      32 B/op	       1 allocs/op
BenchmarkThreadWithContext-32                        	 5485668	       105.7 ns/op	      32 B/op	       1 allocs/op
BenchmarkTableGetStringKey-32                        	    6204	     96390 ns/op	       0 B/op	       0 allocs/op
BenchmarkTableGetStringKey-32                        	    6235	     99261 ns/op	       0 B/op	       0 allocs/op
BenchmarkTableGetStringKey-32                        	    6496	     94108 ns/op	       0 B/op	       0 allocs/op
BenchmarkTableSetStringKey-32                        	    4802	    128399 ns/op	    2489 B/op	       5 allocs/op
BenchmarkTableSetStringKey-32                        	    4923	    130332 ns/op	    2488 B/op	       5 allocs/op
BenchmarkTableSetStringKey-32                        	    4905	    125452 ns/op	    2488 B/op	       5 allocs/op
BenchmarkTableGetIntKey-32                           	    6114	     97168 ns/op	   11024 B/op	      21 allocs/op
BenchmarkTableGetIntKey-32                           	    5984	     95720 ns/op	   11024 B/op	      21 allocs/op
BenchmarkTableGetIntKey-32                           	    6108	     92326 ns/op	   11024 B/op	      21 allocs/op
BenchmarkTableSetIntKey-32                           	    7668	     86009 ns/op	     608 B/op	       2 allocs/op
BenchmarkTableSetIntKey-32                           	    7970	     88274 ns/op	     608 B/op	       2 allocs/op
BenchmarkTableSetIntKey-32                           	    7753	     86425 ns/op	     608 B/op	       2 allocs/op
BenchmarkTableMixedAccess-32                         	    9434	     64265 ns/op	    5216 B/op	      14 allocs/op
BenchmarkTableMixedAccess-32                         	    9622	     66734 ns/op	    5216 B/op	      14 allocs/op
BenchmarkTableMixedAccess-32                         	    9330	     64041 ns/op	    5216 B/op	      14 allocs/op
BenchmarkVMStringConcat-32                           	   68983	      8761 ns/op	    7315 B/op	     200 allocs/op
BenchmarkVMStringConcat-32                           	   69008	      8660 ns/op	    7315 B/op	     200 allocs/op
BenchmarkVMStringConcat-32                           	   66246	      8947 ns/op	    7315 B/op	     200 allocs/op
BenchmarkStringTableConcat-32                        	  115606	      5107 ns/op	    4214 B/op	       6 allocs/op
BenchmarkStringTableConcat-32                        	  115078	      5238 ns/op	    4213 B/op	       6 allocs/op
BenchmarkStringTableConcat-32                        	  118854	      5068 ns/op	    4213 B/op	       6 allocs/op
